genes
A1BG
A4GALT
AAAS
AACS
AADAT
AAGAB
AAK1
AAMDC
AAMP
AANAT
AAR2
AARS
AARS2
AARSD1
AASDH
AASDHPPT
AASS
AATF
AATK
ABAT
ABCA1
ABCA10
ABCA12
ABCA2
ABCA3
ABCA4
ABCA5
ABCA7
ABCB10
ABCB6
ABCB7
ABCB8
ABCB9
ABCC1
ABCC10
ABCC2
ABCC3
ABCC4
ABCC5
ABCD3
ABCD4
ABCE1
ABCF1
ABCF2
ABCF3
ABCG2
ABHD10
ABHD11
ABHD12
ABHD13
ABHD14A
ABHD14B
ABHD15
ABHD16A
ABHD17A
ABHD17B
ABHD17C
ABHD2
ABHD3
ABHD4
ABHD5
ABHD6
ABHD8
ABI1
ABI2
ABL1
ABL2
ABLIM1
ABLIM2
ABLIM3
ABR
ABRACL
ABTB1
ABTB2
AC002066.1
AC002454.1
AC007292.3
AC007383.3
AC009506.1
AC010894.3
AC015987.1
AC017002.1
AC023590.1
AC026202.3
AC034243.1
AC062029.1
AC068831.6
AC072062.1
AC083843.1
AC092171.4
AC093382.1
AC099850.1
AC100830.3
AC104653.1
AC133785.1
AC144652.1
ACAA1
ACAA2
ACACA
ACACB
ACAD10
ACAD11
ACAD8
ACAD9
ACADM
ACADS
ACADSB
ACADVL
ACAP1
ACAP2
ACAP3
ACAT1
ACAT2
ACBD3
ACBD4
ACBD5
ACBD6
ACBD7
ACCS
ACD
ACE
ACER2
ACER3
ACHE
ACIN1
ACKR2
ACLY
ACO1
ACO2
ACOT11
ACOT13
ACOT2
ACOT7
ACOT8
ACOT9
ACOX1
ACOX2
ACOX3
ACP1
ACP2
ACP6
ACPP
ACSBG1
ACSF2
ACSF3
ACSL1
ACSL3
ACSL4
ACSL5
ACSL6
ACSM3
ACSS1
ACSS2
ACTA2
ACTB
ACTL10
ACTL6A
ACTN1
ACTN4
ACTR10
ACTR1A
ACTR1B
ACTR2
ACTR3
ACTR3B
ACTR5
ACTR6
ACTR8
ACTRT3
ACVR1
ACVR1B
ACVR1C
ACVR2A
ACVR2B
ACY1
ACYP1
ACYP2
ADA
ADAL
ADAM10
ADAM11
ADAM15
ADAM17
ADAM19
ADAM22
ADAM23
ADAM32
ADAM8
ADAM9
ADAMTS1
ADAMTS16
ADAMTS7
ADAMTSL4
ADAMTSL5
ADAP1
ADAR
ADARB1
ADAT1
ADAT2
ADAT3
ADCK1
ADCK2
ADCY3
ADCY6
ADCY7
ADCY9
ADD1
ADD3
ADH5
ADHFE1
ADI1
ADIPOR1
ADIPOR2
ADK
ADM
ADM2
ADM5
ADNP
ADNP2
ADO
ADORA2B
ADPGK
ADPRH
ADPRHL1
ADPRHL2
ADPRM
ADRB2
ADRM1
ADSL
ADSS
ADSSL1
AEBP2
AEN
AFAP1
AFAP1L1
